name,category,feeds,homepage,tier,enabled,notes
每日经济新闻,市场化财经,https://news.google.com/rss/search?q=site%3Anbd.com.cn%20%E7%9F%B3%E6%B2%B9%20OR%20%E5%8E%9F%E6%B2%B9%20OR%20%E6%B2%B9%E4%BB%B7%20when%3A3d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,https://www.nbd.com.cn,gn,1,GN备份
证券时报,市场化财经,https://news.google.com/rss/search?q=site%3Astcn.com%20%E7%9F%B3%E6%B2%B9%20OR%20%E5%8E%9F%E6%B2%B9%20OR%20%E6%B2%B9%E4%BB%B7%20OR%20%E5%A4%A7%E5%AE%97%E5%95%86%E5%93%81%20when%3A3d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,https://www.stcn.com,gn,1,GN备份
中国政府网,政府机构,https://news.google.com/rss/search?q=site%3Agov.cn%20%E8%83%BD%E6%BA%90%20OR%20%E7%9F%B3%E6%B2%B9%20OR%20%E6%88%90%E5%93%81%E6%B2%B9%20OR%20%E5%85%B3%E7%A8%8E%20when%3A7d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,https://www.gov.cn,gn,1,国务院政策 GN备份
国家发改委,政府机构,https://news.google.com/rss/search?q=site%3Andrc.gov.cn%20%E7%9F%B3%E6%B2%B9%20OR%20%E8%83%BD%E6%BA%90%20OR%20%E6%88%90%E5%93%81%E6%B2%B9%20OR%20%E4%BB%B7%E6%A0%BC%20when%3A7d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,https://www.ndrc.gov.cn,gn,1,能源定价/油气政策 GN备份
国家能源局,政府机构,https://news.google.com/rss/search?q=site%3Anea.gov.cn%20when%3A7d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,http://www.nea.gov.cn,gn,1,能源行业主管 GN备份
中国人民银行,政府机构,https://news.google.com/rss/search?q=site%3Apbc.gov.cn%20%E5%88%A9%E7%8E%87%20OR%20%E6%B1%87%E7%8E%87%20OR%20%E4%BA%BA%E6%B0%91%E5%B8%81%20OR%20%E8%B4%A7%E5%B8%81%E6%94%BF%E7%AD%96%20when%3A7d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,http://www.pbc.gov.cn,gn,1,货币政策/汇率 GN备份
商务部,政府机构,https://news.google.com/rss/search?q=site%3Amofcom.gov.cn%20%E7%9F%B3%E6%B2%B9%20OR%20%E5%8E%9F%E6%B2%B9%20OR%20%E8%B4%B8%E6%98%93%20OR%20%E5%87%BA%E5%8F%A3%E7%AE%A1%E5%88%B6%20OR%20%E5%88%B6%E8%A3%81%20when%3A7d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,https://www.mofcom.gov.cn,gn,1,贸易管制/能源贸易 GN备份
外交部,政府机构,https://news.google.com/rss/search?q=site%3Afmprc.gov.cn%20%E7%9F%B3%E6%B2%B9%20OR%20%E5%88%B6%E8%A3%81%20OR%20%E4%B8%AD%E4%B8%9C%20OR%20%E4%BF%84%E7%BD%97%E6%96%AF%20OR%20%E4%BC%8A%E6%9C%97%20OR%20%E8%83%BD%E6%BA%90%20when%3A7d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,https://www.fmprc.gov.cn,gn,1,外交表态 GN备份
海关总署,政府机构,https://news.google.com/rss/search?q=site%3Acustoms.gov.cn%20%E5%8E%9F%E6%B2%B9%20OR%20%E8%BF%9B%E5%87%BA%E5%8F%A3%20OR%20%E5%A4%A7%E5%AE%97%E5%95%86%E5%93%81%20when%3A7d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,http://www.customs.gov.cn,gn,1,原油进口数据 GN备份
国家统计局,政府机构,https://news.google.com/rss/search?q=site%3Astats.gov.cn%20PMI%20OR%20%E5%B7%A5%E4%B8%9A%20OR%20%E8%83%BD%E6%BA%90%20OR%20CPI%20OR%20PPI%20when%3A7d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,http://www.stats.gov.cn,gn,1,宏观数据 GN备份
